User,CPU_Time(Hours),GPU_Time(Hours)
user16,0,0
mohamed.akhchoun,0,0
jbouamam,0,0
faustin.ogou,0,0
mohammed.khlifi,1003.64,632.917
macmillan.chanda,9884.28,0
khaoula.sarout,0,0
fayssal,0,0
anaknari,0,0
mustapha.bouchaara,0,0
user17,0,0
zineb.errachdi,231.576,18.0058
user14,0,0
sami.bamansour,113.08,113.08
noura.majoudi,470.724,0
mohamed.bachar,948.393,591.563
karim.boubouh,0,0
jchanchaf,0,0
haitham.naciri,559.467,4.865
abderrafi.abdeddine,0,0
abdellatif.elkhayari,0,0
musalihi,0,0
wissale.khoudraji,0,0
user15,0,0
smiklass,0,0
noureddine.toutlini,355.98,55.14
moukannaa,0,0
khaoula.hidawi,0,0
ilham.laghrissi,0,0
haytam.elyoussfi,0,0
alaeddine.zahir,0,0
abderrahman.lamaoui,0,0
zakaria.kharbouch,0,0
user12,0,0
samir.jabbar,0,0
mohamed.abdelbaki,0,0
mikael.tchato,0,0
melabdellaoui,0,0
ismail.oubarka,0,0
abderrahman.aberda,16.4397,0
youzguir,0,0
zkerrami,0,0
user13,5.00361,5.00361
sfoulani,0,0
najoua.ourti,0,0
mossaab.lakhmaiss,0.00222222,0.000277778
medbabou,0,0
karim.majdi-ext,0,0
fatiha.abrar,0,0
badreddine.khitar,0,0
amine.ouchdiri,0,0
amahdaouy,2247.84,1213.63
abdelkarim.fatihi,0,0
h.hassouane,0,0
yahya.yusuf,0,0
sarah.baaziz,0,0
mohammed.amlieh,0,0
jamal.bouchaib,4958.85,442.587
ihajjaji,0,0
felhamra,0,0
fadoua.boudrari,0,0
aytabaai,0,0
ali.aitbaha,0,0
user10,0,0
zouhir.mansouri,0,0
zakaria.belfkira,10822.8,0
soualil,0,0
obendaou,0,0
khaoula.jellal,30.7958,1.21389
kara,0,0
anouar.taizoukt,0,0
anas.oubaha,0,0
anas.aitaomar,0,0
aelmekki,0,0
aelharrak,2.01694,0
abid.abdessamad,0.000277778,0
user11,0,0
yassir.elfalaki,0,0
oussama.laaroussi,6.53417,1.06361
oussama.boumahdi,0.0788889,0
omar.essabbar,2.90278,0.333889
mouad.sidki,0,0
mohammed.elmrabti,0,0
hassan.naanani,3.9225,1.00917
hajar.zouhair,0,0
amine.rabitateddine,0,0
abdessamad.hennani,0,0
manal.cherkaoui,0,0
oumaima.mouimi,0,0
nrdhamid,0,0
melalj,0,0
khadija.arradi,5028.99,2721.86
imane.bouayad,0,0
hind.nia,2610.64,1528.24
basma.arnaoui,0,0
amine.idrissi,0,0
tzineb,0,0
snmisaoui,0,0
sjelloun,0,0
oumaima.almir,0,0
mounaimi.sana,0,0
imane.ouada,194.446,504.274
fatimazahra.nakach,0,0
amina.aitelkadi,0,0
abdelilah.aitrouga,0,0
abdelmoujoud.faris,912.892,723.984
youssef.nouali,0,0
zineb.elhadi,0,0
zaynab.naciri,146.748,2.63361
samir.aitabboud,0,0
oumaima.aitbaha,1437.58,765.31
nadia.rhoujjati,0,0
fatimaezahra.oulkhir,0,0
baithssaine,0,0
aya.hajri,0,0
amoutaki,0,0
abdulganyu.jimoh,0,0
abdeljalil.otman,3.02333,0.916111
yousra.elmejjaouy,0,0
snaamane,0,0
olouarak,0,0
mohcine.mourchid,0,0
mohamed.ihbach,0,0
mohamed.bounouar,0,0
mohamed.benaly,0,0
khaoula.adjane,14.7553,14.7553
hammou.aithammou,14.3675,0
hajar.moufid,0,0
haitbaha,0,0
aya.mellouli,3125.23,1701.39
nabil,0,0
aurel.tchokponhoue,0,0
yoommane,0,0
yassine.manyari,0,0
skeita,0,0
siham.acharki,0,0
saida.elouardi,0,0
rida.lefdali,0,0
rbouchou,324.193,9.85528
rachid.fattah,0,0
mohamed.kharrou,0,0
ihssane.aoune,0,0
hndiarra,0,0
hbenbriq,0,0
douha.senane,620.555,289.421
aymane.kricha,0,0
anass.grini,0,0
alioune.ndao,0,0
alfred.balenor,0,0
abelakri,0,0
abdesslam.aitderhem,0,0
karima.echihabi,0,0
imane.araf,0,0
houatab,0,0
ainouche,0,0
afsaaidi,0,0
user18,0,0
wiam.salih,49.3939,4.24056
samia.lachgar,27.7792,4.42667
rachid.elfermi,0,0
othmane.elouardi,2898.66,0
nada.mastari,0,0
mkhechba,0,0
mejanati,0,0
imane.fjer,0,0
elmaachi.zakaria,0,0
